,Name,University,Sport,Sponsors
16,Matt Maloney,Lock Haven University of Pennsylvania,Wrestling,Barstool Sports
17,Ryan McCloskey,Clemson University,Track and Field,Barstool Sports
18,John Young,University of Kentucky,Football,Barstool Sports
19,Paul Kosanovich,University of Virginia,Baseball,Barstool Sports
0,Sebastian Gongora,Wright State University,Baseball,Barstool Sports
1,Morgan Suarez,Florida Atlantic University,Football,Barstool Sports
2,Amir Ado,Washington State University,Cross Country,Barstool Sports
3,Steven Hillan,University of North Florida,Baseball,Barstool Sports
4,Brendan Beattie,Miami University,Football,Barstool Sports
5,Trevon Booker,Miami University,Football,Barstool Sports
6,Allisa DiPrima,Oakland University,Softball,Barstool Sports
7,Steven Croell,Colorado State UniversityâPueblo,Football,Barstool Sports
8,Jack Brown,University of Rhode Island,Golf,Barstool Sports
9,Josh Morgan,University of Dayton,Soccer,Barstool Sports
10,Drew Smiley,Lafayette College,Baseball,Barstool Sports
11,Josiah Jones,Robert Morris University,Football,Barstool Sports
12,Joe DeHaan,Northwestern University,Football,Barstool Sports
13,Mary Haff,University of Arkansas,Softball,Barstool Sports
14,Donald Scott,University of Michigan,Swimming and Diving,Barstool Sports
15,Otis Thrasher,Lafayette College,Football,Barstool Sports
16,Zac Herrmann,Niagara University,Ice Hockey,Barstool Sports
17,Matthew Martin,Nicholls State University,Football,Barstool Sports
18,Jess Foley,Niagara University,Lacrosse,Barstool Sports
19,Jake Marti,University of Michigan,Baseball,Barstool Sports
0,Makenna Jones,University of Cincinnati,Golf,Barstool Sports
1,Shaun Peterson Jr.,Florida International University,Football,Barstool Sports
2,Grant Calvert,Saint Louis University,Soccer,Barstool Sports
3,Cade Denhoff,Clemson University,Football,Barstool Sports
4,Elijah Hills,"University at Albany, SUNY",Football,Barstool Sports
5,Noah Taylor,Cornell University,Football,Barstool Sports
6,Ben Vander Plas,Ohio University,Basketball,Barstool Sports
7,Alex Simet,"University of Maryland, College Park",Football,Barstool Sports
8,Ryan Boehm,"California State University, Fresno",Football,Barstool Sports
9,Cooper Krezek,Morehead State University,Football,Barstool Sports
10,Zachary Curiale,Miami University,Cross Country,Barstool Sports
11,Emily Feeney,Quinnipiac University,Lacrosse,Barstool Sports
12,Xander Gagnon,University of Northern Colorado,Football,Barstool Sports
13,Jordan Anderson,Lafayette College,Football,Barstool Sports
14,Matt Thomas,University of Rhode Island,Football,Barstool Sports
15,JoJo Aragona,Rutgers University,Wrestling,Barstool Sports
16,Jack Vanoverbeke,High Point University,Lacrosse,Barstool Sports
17,Mahalia White,"University of California, Davis",Volleyball,Barstool Sports
18,Austin Ertl,Miami University,Football,Barstool Sports
19,Kolby Borders,Miami University,Football,Barstool Sports
0,Jill Warabak,Lafayette College,Track and Field,Barstool Sports
1,Glen Mandel,Mercer University,Lacrosse,Barstool Sports
2,Jason Miranda,Stanford University,Wrestling,Barstool Sports
3,Dylan Summers,Eastern Michigan University,Football,Barstool Sports
4,Evan Davis,University at Buffalo,Football,Barstool Sports
5,Jordan Gaitley,University of Richmond,Basketball,Barstool Sports
6,Jillie Quevedo,University of Virginia,Lacrosse,Barstool Sports
7,Josh Schreibeis,Robert Morris University,Lacrosse,Barstool Sports
8,Gavin Lafferty,Georgetown University,Rowing,Barstool Sports
9,Nia Johnson,"University of Nevada, Las Vegas",Basketball,Barstool Sports
10,J.M. Fay,Florida State College at Jacksonville,Baseball,Barstool Sports
11,Carly Haines,University of Louisville,Golf,Barstool Sports
12,Preston Brodziak,Long Island University,Ice Hockey,Barstool Sports
13,Aaron Costello,University of Iowa,Wrestling,Barstool Sports
14,Anthony Depino,University of Rhode Island,Baseball,Barstool Sports
15,Joey Abate,University of Nebraska Omaha,Ice Hockey,Barstool Sports
16,Emily Fitzner,Indiana University,Volleyball,Barstool Sports
17,Cameron Lyons,University of North Carolina at Charlotte,Football,Barstool Sports
18,Casey Thompson,Boston University,Field Hockey,Barstool Sports
19,Jack Hoagland,University of Notre Dame,Swimming and Diving,Barstool Sports
0,JP Miller,George Mason University,Golf,Barstool Sports
1,Benito Posa,Lake Superior State University,Ice Hockey,Barstool Sports
2,Dylan Wudke,Youngstown State University,Football,Barstool Sports
3,Blake Money,Louisiana State University,Baseball,Barstool Sports
4,Tyler Mackesy,University of Virginia,Squash,Barstool Sports
5,Taylor Fox,University of Iowa,Football,Barstool Sports
6,Ben Burton,United States Naval Academy,Golf,Barstool Sports
7,Joe Dunlap,The Ohio State University,Ice Hockey,Barstool Sports
8,Andrew Stafford,Drake University,Football,Barstool Sports
9,Malik Hamm,Lafayette College,Football,Barstool Sports
10,Reggie Lutz,"Minnesota State University, Mankato",Ice Hockey,Barstool Sports
11,Peter Lehman,Lafayette College,Lacrosse,Barstool Sports
12,Lily Farkas,University of Michigan,Soccer,Barstool Sports
13,Cameron Amine,University of Michigan,Wrestling,Barstool Sports
14,Cooper Cortinas,Washington State University,Cross Country,Barstool Sports
15,Andrew Paoli,"University of California, Los Angeles",Soccer,Barstool Sports
16,Andrew Abrahamowicz,Bowling Green State University,Baseball,Barstool Sports
17,Abi Annett,University of North Florida,Softball,Barstool Sports
18,Saige Pye,Marshall University,Softball,Barstool Sports
19,Jack Galbraith,College of William & Mary,Swimming and Diving,Barstool Sports
0,Bryce Haney,Wright State University,Golf,Barstool Sports
1,Grant Toutant,The Ohio State University,Football,Barstool Sports
2,Zach Larkin,Indiana State University,Football,Barstool Sports
3,Tess Weiskopf,Youngstown State University,Swimming and Diving,Barstool Sports
4,Jacob Snyder,The Ohio State University,Lacrosse,Barstool Sports
5,Andrew Carson,Michigan State University,Baseball,Barstool Sports
6,Allan Hart,University of Missouri,Wrestling,Barstool Sports
7,Dalton Stier,Niagara University,Swimming and Diving,Barstool Sports
8,Taylor Wemple,"Minnesota State University, Mankato",Ice Hockey,Barstool Sports
9,Caleb Floyd,University of Alabama at Birmingham,Baseball,Barstool Sports
10,Lillian Mould,University of Oregon,Tennis,Barstool Sports
11,Josh McCauley,University of Arizona,Football,Barstool Sports
12,Josh Sepe,Davidson College,Football,Barstool Sports
13,Sam Griffith,Washington State University,Cross Country,Barstool Sports
14,Chad Deegan,United States Naval Academy,Golf,Barstool Sports
15,Andrew Cubberly,Quinnipiac University,Baseball,Barstool Sports
16,Kirk Laursen,Miami University,Ice Hockey,Barstool Sports
17,Colin Cooke,High Point University,Lacrosse,Barstool Sports
18,Ryan Vanscoy,West Virginia University,Football,Barstool Sports
19,Michael Trautwein,Northwestern University,Baseball,Barstool Sports
0,Ryan Thompson,Duke University,Cross Country,Barstool Sports
1,Brett Rezendes,Bucknell University,Wrestling,Barstool Sports
2,Trevor Bishop,Western Michigan University,Ice Hockey,Barstool Sports
3,Dom Tobin,"University of Maryland, Baltimore County",Swimming and Diving,Barstool Sports
4,Cole Tucker,Northern Illinois University,Football,Barstool Sports
5,Jason Smallidge,University of Nebraska Omaha,Ice Hockey,Barstool Sports
6,Cameron Carson,University of Massachusetts Amherst,Football,Barstool Sports
7,Mitchell Sturgill,Columbia University,Football,Barstool Sports
8,Rich Kelly,University of Massachusetts Amherst,Basketball,Barstool Sports
9,Kyle Lozen,Ball State University,Football,Barstool Sports
10,Garrett Gibbons,"University of Maryland, College Park",Lacrosse,Barstool Sports
11,Harrison Feeney,University of North Dakota,Ice Hockey,Barstool Sports
12,Hunter Cattoor,Virginia Tech,Basketball,Barstool Sports
13,Andrea Fry,Auburn University,Tennis,Barstool Sports
