,Name,University,Sport,Sponsors
14,Kylie Gorgenyi,University of New Hampshire,Gymnastics,Barstool Sports
15,Tre Morris,University of Missouri,Baseball,Barstool Sports
16,Katie Hoffman,La Salle University,Soccer,Barstool Sports
17,Jack Eschenbach,University of WisconsinâMadison,Football,Barstool Sports
18,Zane Probst,Seton Hall University,Baseball,Barstool Sports
19,Gabe Blanchard,University of Massachusetts Lowell,Ice Hockey,Barstool Sports
0,Hailey Orlowski,University of WisconsinâMadison,Track and Field,Barstool Sports
1,Bryant Shives,Mount St. Mary's University,Baseball,Barstool Sports
2,Calob Jones,South Dakota State University,Track and Field,Barstool Sports
3,Dante Palacio,"California State Polytechnic University, Pomona",Baseball,Barstool Sports
4,Dan Scianna,Furman University,Football,Barstool Sports
5,Dominick Scelfo,Cornell University,Basketball,Barstool Sports
6,Nathan Holty,The Ohio State University,Swimming and Diving,Barstool Sports
7,Dom Sarno,Long Island University,Football,Barstool Sports
8,Patrick Daum,West Virginia University,Wrestling,Barstool Sports
9,Nathan Priestley,University of Georgia,Football,Barstool Sports
10,Caitlin Morrison,Valparaiso University,Basketball,Barstool Sports
11,Matt Montgomery,University of Delaware,Lacrosse,Barstool Sports
12,Matt Beck,University of Vermont,Ice Hockey,Barstool Sports
13,Mary Kate Vaughn,Boston College,Cross Country,Barstool Sports
14,Scott Patchan,Colorado State University,Football,Barstool Sports
15,Cassie Chinn,Loyola Marymount University,Beach Volleyball,Barstool Sports
16,Greg McGuire,Central Connecticut State University,Cross Country,Barstool Sports
17,Jackson Roby,University of Alabama,Football,Barstool Sports
18,Madison Layden,Purdue University,Basketball,Barstool Sports
19,Bradley King,Pennsylvania State University,Football,Barstool Sports
0,Holton Ahlers,East Carolina University,Football,Barstool Sports
1,Mac Lee,Boston College,Golf,Barstool Sports
2,Jack Lynch,Xavier University,Baseball,Barstool Sports
3,Will Morrison,Western Michigan University,Baseball,Barstool Sports
4,Zack Mason,Eastern Michigan University,Golf,Barstool Sports
5,Reese Mayer,University of Notre Dame,Soccer,Barstool Sports
6,Bailey Parsons,Stanford University,Football,Barstool Sports
7,Connor Augenstein,Aurora University,Football,Barstool Sports
8,Sydney Jorgensen,Texas Christian University,Swimming and Diving,Barstool Sports
9,Alex Storako,University of Michigan,Softball,Barstool Sports
10,Jake Poindexter,University of Georgia,Baseball,Barstool Sports
11,Andrel Anthony,University of Michigan,Football,Barstool Sports
12,Carter Kopet,Gustavus Adolphus College,Football,Barstool Sports
13,Rileigh Powers,"University of California, Los Angeles",Beach Volleyball,Barstool Sports
14,Luke Wells,Rutgers University,Golf,Barstool Sports
15,Courtney Walker,Florida International University,Soccer,Barstool Sports
16,Isaiah Stevens,Colorado State University,Basketball,Barstool Sports
17,Noah Boffo,Xavier University,Soccer,Barstool Sports
18,Jake Crespi,Michigan Technological University,Ice Hockey,Barstool Sports
19,Thomas Colucci,Colgate University,Lacrosse,Barstool Sports
0,Jordan Helm,Florida Atlantic University,Football,Barstool Sports
1,Giovanni Canales,Coppin State University,Baseball,Barstool Sports
2,Jeff Ciccio,Fordham University,Football,Barstool Sports
3,Paris Alexander,University of Cincinnati,Lacrosse,Barstool Sports
4,Darby Pillow,Ohio University,Track and Field,Barstool Sports
5,Riley White,University of Alabama,Cross Country,Barstool Sports
6,Jared Zimbardo,Quinnipiac University,Baseball,Barstool Sports
7,Adam Karashik,University of Notre Dame,Ice Hockey,Barstool Sports
8,Riley Delill,Robert Morris University,Lacrosse,Barstool Sports
9,Trey Kapsalis,Indiana University,Soccer,Barstool Sports
10,Anthony Leal,Indiana University,Basketball,Barstool Sports
11,Ben Minor,Butler University,Soccer,Barstool Sports
12,Matt Duvall,University of Kentucky,Cross Country,Barstool Sports
13,Justin Carlin,Western Kentucky University,Baseball,Barstool Sports
14,Micah Earwood,Georgia State University,Baseball,Barstool Sports
15,Bennett Lee,Tulane University,Baseball,Barstool Sports
16,Marty Strey,University of WisconsinâMadison,Football,Barstool Sports
17,Max Tillett,University of New Hampshire,Football,Barstool Sports
18,Nicky Kuzemka,Furman University,Football,Barstool Sports
19,Josh Spare,East Carolina University,Cross Country,Barstool Sports
0,Zane Harris,Wright State University,Baseball,Barstool Sports
1,Holt Robison,Colgate University,Soccer,Barstool Sports
2,Brice O'Hara,University of Oklahoma,Wrestling,Barstool Sports
3,Abby Danson,The Ohio State University,Field Hockey,Barstool Sports
4,Michael Marchese,University of Illinois at UrbanaâChampaign,Football,Barstool Sports
5,Wills Montgomery,Saint Joseph's University,Golf,Barstool Sports
6,Trace Young,Colorado State University,Basketball,Barstool Sports
7,Tim Adler,University of Minnesota,Ice Hockey,Barstool Sports
8,Breanna Socker,St. John Fisher College,Field Hockey,Barstool Sports
9,Matthew Klein,Southern Illinois University Edwardsville,Baseball,Barstool Sports
10,Nalin Fox,Purdue University,Football,Barstool Sports
11,Chris Cusolito,Providence College,Lacrosse,Barstool Sports
12,Adam Swanson,Eastern Illinois University,Cross Country,Barstool Sports
13,Amanda Schwartz,Cornell University,Track and Field,Barstool Sports
14,Justin Janke,Washington State University,Track and Field,Barstool Sports
15,Ben Bohnenberger,Colgate University,Football,Barstool Sports
16,Chris Mazza,Quinnipiac University,Baseball,Barstool Sports
17,Corinne McCool,University of Vermont,Ice Hockey,Barstool Sports
18,Matthew Magness,The Ohio State University,Swimming and Diving,Barstool Sports
19,Will Jontz,Indiana University,Football,Barstool Sports
0,Andy Carroll,"Minnesota State University, Mankato",Ice Hockey,Barstool Sports
1,Ian Mikesell,The Ohio State University,Swimming and Diving,Barstool Sports
2,Jake Bunz,University of NebraskaâLincoln,Baseball,Barstool Sports
3,Tyler Shingledecker,Pennsylvania State University,Baseball,Barstool Sports
4,Gianna Danese,Columbia University,Lacrosse,Barstool Sports
5,Evan Daigle,Northwestern State University,Baseball,Barstool Sports
6,Blake Grupe,Arkansas State University,Football,Barstool Sports
7,Kalob Runyon,University of Northern Iowa,Wrestling,Barstool Sports
8,Patrick Jackson,Bellarmine University,Swimming and Diving,Barstool Sports
9,Sam Hart,The Ohio State University,Football,Barstool Sports
10,Henry Marchese,University of Iowa,Football,Barstool Sports
11,Gunnar Leyendecker,Davidson College,Football,Barstool Sports
12,Buddy Mrowka,Harvard University,Baseball,Barstool Sports
13,Joey Baughman,Elon University,Football,Barstool Sports
14,Tommy Sidleck,Mount St. Mary's University,Soccer,Barstool Sports
15,David Carr,Iowa State University,Wrestling,Barstool Sports
16,Evan Johnson,The Ohio State University,Track and Field,Barstool Sports
17,Zach Stallings,Washington State University,Cross Country,Barstool Sports
18,Connor McWilliams,University of Denver,Soccer,Barstool Sports
19,Gavin Lamp,University of Richmond,Football,Barstool Sports
0,Jace Howard,University of Michigan,Basketball,Barstool Sports
1,K.J. Henry,Clemson University,Football,Barstool Sports
2,Troy Schreffler Jr.,"University of Maryland, College Park",Baseball,Barstool Sports
3,Reagan Campbell,Louisiana State University,Gymnastics,Barstool Sports
4,Kenny Campbell,University of Connecticut,Baseball,Barstool Sports
5,Sam Sklarski,Michigan State University,Soccer,Barstool Sports
6,Ty Glover,Western Michigan University,Ice Hockey,Barstool Sports
7,Hank Anderson,Bloomsburg University of Pennsylvania,Track and Field,Barstool Sports
8,Keeton Thornsberry,Eastern Kentucky University,Cross Country,Barstool Sports
9,Sam Morse,Southern Methodist University,Football,Barstool Sports
10,Luke Wierman,"University of Maryland, College Park",Lacrosse,Barstool Sports
11,Ryan Eliassen,University of Alabama,Wheelchair Basketball,Barstool Sports
12,Cade Vela,Davidson College,Football,Barstool Sports
13,Colleen Graham,Marquette University,Lacrosse,Barstool Sports
14,Jonathan Elkins,Villanova University,Golf,Barstool Sports
15,Ryan Mata,University of Missouri,Cross Country,Barstool Sports
16,Kevin Millar,St. Thomas Aquinas College,Baseball,Barstool Sports
17,Danielle Pavinelli,University of Florida,Lacrosse,Barstool Sports
18,J.T. Jarrett,North Carolina State University,Baseball,Barstool Sports
19,Frank Hayes,The Ohio State University,Track and Field,Barstool Sports
0,David Caraher,St. John's University,Basketball,Barstool Sports
1,Lance Runyon,University of Northern Iowa,Wrestling,Barstool Sports
2,Mayan Ahanotu,Rutgers University,Football,Barstool Sports
3,Noah Drummond,West Virginia University,Football,Barstool Sports
4,Dontae Fleming,University of Louisiana at Lafayette,Football,Barstool Sports
5,Abby Schillinger,University of Detroit Mercy,Lacrosse,Barstool Sports
6,Allie Craig Cruce,University of Alabama,Basketball,Barstool Sports
7,Michael Gerace,University of Maine,Football,Barstool Sports
8,Drake Thomas,North Carolina State University,Football,Barstool Sports
9,Jarek Broussard,University of Colorado Boulder,Football,Barstool Sports
10,Gavin Puskar,University of Connecticut,Ice Hockey,Barstool Sports
11,Brock Bertram,University at Buffalo,Basketball,Barstool Sports
12,Collin Moore,"University of California, Berkeley",Football,Barstool Sports
13,Isaac Vance,Kent State University,Football,Barstool Sports
14,Julie Armstrong,Michigan State University,Rowing,Barstool Sports
15,Will McFadden,University of Massachusetts Amherst,Baseball,Barstool Sports
16,Amirah Ali,Rutgers University,Soccer,Barstool Sports
17,Tyrese Fajardo,The Ohio State University,Track and Field,Barstool Sports
18,Riley Baker,Eastern Illinois University,Track and Field,Barstool Sports
19,Thayer Thomas,North Carolina State University,Football,Barstool Sports
0,Marcus Wood Jr.,"University of Nevada, Reno",Lacrosse,Barstool Sports
1,Toby McBride,Colorado State University,Football,Barstool Sports
2,Sean Wracher,Indiana University,Football,Barstool Sports
3,Paddy Gallagher,The Ohio State University,Wrestling,Barstool Sports
4,Taylor Marinelli,Saint Joseph's University,Softball,Barstool Sports
5,Max Wysocki,University of Oregon,Football,Barstool Sports
6,Bella Bryson,Missouri State University,Soccer,Barstool Sports
7,Mike Toranzo,Oregon State University,Wrestling,Barstool Sports
8,Dan Vasey,Pennsylvania State University,Football,Barstool Sports
9,Evan Tattersall,"University of California, Berkeley",Football,Barstool Sports
10,Ryan Cameron,Florida Atlantic University,Football,Barstool Sports
11,Ramon Singh,Xavier University,Basketball,Barstool Sports
12,David Roddy,Colorado State University,Basketball,Barstool Sports
13,Blake Hely,Davidson College,Baseball,Barstool Sports
14,Elyjah Williams,Northwestern University,Basketball,Barstool Sports
15,Zach Driscoll,University of North Dakota,Ice Hockey,Barstool Sports
16,Logan Hackett,Texas Southern University,Golf,Barstool Sports
17,Carli Baldwin,New Mexico State University,Swimming and Diving,Barstool Sports
18,Will Norris,University of Missouri,Football,Barstool Sports
19,Brook Richards,Idaho State University,Softball,Barstool Sports
0,Madison Levinson,Columbia University,Lacrosse,Barstool Sports
1,Taylor Shelton,Indiana State University,Volleyball,Barstool Sports
2,Tim Malo,Brown University,Football,Barstool Sports
3,Michael Santi,University of Northern Iowa,Track and Field,Barstool Sports
4,Mac Webster,Boston College,Golf,Barstool Sports
5,Colin McDermott,The Ohio State University,Swimming and Diving,Barstool Sports
