Name,Sponsors,University,Sport,PageNumber
Tyler Lytle,Barstool Sports,University of Massachusetts Amherst,Football,14
Rusty Feth,Barstool Sports,Miami University,Football,14
Kylie Hampton,Barstool Sports,College of the Holy Cross,Lacrosse,14
Liam Murphy,Barstool Sports,Columbia University,Basketball,14
Cade Haberman,Barstool Sports,Northern Illinois University,Football,14
Jess Preusser,Barstool Sports,Saint Louis University,Soccer,14
Everett Olson,Barstool Sports,University of New Hampshire,Skiing,14
Devyn King,Barstool Sports,Sacred Heart University,Track and Field,14
Henry Beckett,Barstool Sports,Miami University,Football,14
Jacob Siler,Barstool Sports,The Ohio State University,Swimming and Diving,14
Thomas Howell,Barstool Sports,University of Louisiana at Monroe,Basketball,14
Megan Guglielmo,Barstool Sports,Wagner College,Track and Field,14
Cody Roder,Barstool Sports,North Dakota State University,Track and Field,14
Allison Lowrey,Barstool Sports,Rutgers University,Soccer,14
Nicholas Marino,Barstool Sports,Florida Atlantic University,Football,14
Jay Johnson,Barstool Sports,The Ohio State University,Swimming and Diving,14
Jeremy Cody,Barstool Sports,Arizona State University,Track and Field,14
Michael O'Shaughnessy,Barstool Sports,The Ohio State University,Football,14
Savannah Marshall,Barstool Sports,James Madison University,Volleyball,14
Mallory Pitstick,Barstool Sports,Youngstown State University,Swimming and Diving,14
Jack Coldiron,Barstool Sports,Miami University,Football,15
Hunter Bruce,Barstool Sports,Pennsylvania State University,Golf,15
Andrew Sowinski,Barstool Sports,Purdue University,Football,15
Tyler Hanley,Barstool Sports,Florida State University,Swimming and Diving,15
Hatti Moore,Barstool Sports,University of Missouri,Softball,15
Douglas Hodo III,Barstool Sports,University of Texas at Austin,Baseball,15
Colin Munro,Barstool Sports,Georgetown University,Lacrosse,15
Teagan Miller,Barstool Sports,Austin Peay State University,Golf,15
John Stillman,Barstool Sports,Bradley University,Golf,15
Sam DePrez,Barstool Sports,Binghamton University,Wrestling,15
Joey Marcuccilli,Barstool Sports,Iowa State University,Ice Hockey,15
Le Bassett,Barstool Sports,Mercer University,Baseball,15
Matt Garber,Barstool Sports,Boston University,Lacrosse,15
Jeremy Drudge,Barstool Sports,Valparaiso University,Baseball,15
Katelyn Howard,Barstool Sports,University of Oregon,Softball,15
Jonny Sorenson,Barstool Sports,University of Minnesota,Ice Hockey,15
Matt Maloney,Barstool Sports,Lock Haven University of Pennsylvania,Wrestling,15
Ryan McCloskey,Barstool Sports,Clemson University,Track and Field,15
John Young,Barstool Sports,University of Kentucky,Football,15
Paul Kosanovich,Barstool Sports,University of Virginia,Baseball,15
Sebastian Gongora,Barstool Sports,Wright State University,Baseball,16
Morgan Suarez,Barstool Sports,Florida Atlantic University,Football,16
Amir Ado,Barstool Sports,Washington State University,Cross Country,16
Steven Hillan,Barstool Sports,University of North Florida,Baseball,16
Brendan Beattie,Barstool Sports,Miami University,Football,16
Trevon Booker,Barstool Sports,Miami University,Football,16
Allisa DiPrima,Barstool Sports,Oakland University,Softball,16
Steven Croell,Barstool Sports,Colorado State University-Pueblo,Football,16
Jack Brown,Barstool Sports,University of Rhode Island,Golf,16
Josh Morgan,Barstool Sports,University of Dayton,Soccer,16
Drew Smiley,Barstool Sports,Lafayette College,Baseball,16
Josiah Jones,Barstool Sports,Robert Morris University,Football,16
Joe DeHaan,Barstool Sports,Northwestern University,Football,16
Mary Haff,Barstool Sports,University of Arkansas,Softball,16
Donald Scott,Barstool Sports,University of Michigan,Swimming and Diving,16
Otis Thrasher,Barstool Sports,Lafayette College,Football,16
Zac Herrmann,Barstool Sports,Niagara University,Ice Hockey,16
Matthew Martin,Barstool Sports,Nicholls State University,Football,16
Jess Foley,Barstool Sports,Niagara University,Lacrosse,16
Jake Marti,Barstool Sports,University of Michigan,Baseball,16
Makenna Jones,Barstool Sports,University of Cincinnati,Golf,17
Shaun Peterson Jr.,Barstool Sports,Florida International University,Football,17
Grant Calvert,Barstool Sports,Saint Louis University,Soccer,17
Cade Denhoff,Barstool Sports,Clemson University,Football,17
Elijah Hills,Barstool Sports,"University at Albany, SUNY",Football,17
Noah Taylor,Barstool Sports,Cornell University,Football,17
Ben Vander Plas,Barstool Sports,Ohio University,Basketball,17
Alex Simet,Barstool Sports,"University of Maryland, College Park",Football,17
Ryan Boehm,Barstool Sports,"California State University, Fresno",Football,17
Cooper Krezek,Barstool Sports,Morehead State University,Football,17
Zachary Curiale,Barstool Sports,Miami University,Cross Country,17
Emily Feeney,Barstool Sports,Quinnipiac University,Lacrosse,17
Xander Gagnon,Barstool Sports,University of Northern Colorado,Football,17
Jordan Anderson,Barstool Sports,Lafayette College,Football,17
Matt Thomas,Barstool Sports,University of Rhode Island,Football,17
JoJo Aragona,Barstool Sports,Rutgers University,Wrestling,17
Jack Vanoverbeke,Barstool Sports,High Point University,Lacrosse,17
Mahalia White,Barstool Sports,"University of California, Davis",Volleyball,17
Austin Ertl,Barstool Sports,Miami University,Football,17
Kolby Borders,Barstool Sports,Miami University,Football,17
Jill Warabak,Barstool Sports,Lafayette College,Track and Field,18
Glen Mandel,Barstool Sports,Mercer University,Lacrosse,18
Jason Miranda,Barstool Sports,Stanford University,Wrestling,18
Dylan Summers,Barstool Sports,Eastern Michigan University,Football,18
Evan Davis,Barstool Sports,University at Buffalo,Football,18
Jordan Gaitley,Barstool Sports,University of Richmond,Basketball,18
Jillie Quevedo,Barstool Sports,University of Virginia,Lacrosse,18
Josh Schreibeis,Barstool Sports,Robert Morris University,Lacrosse,18
Gavin Lafferty,Barstool Sports,Georgetown University,Rowing,18
Nia Johnson,Barstool Sports,"University of Nevada, Las Vegas",Basketball,18
J.M. Fay,Barstool Sports,Florida State College at Jacksonville,Baseball,18
Carly Haines,Barstool Sports,University of Louisville,Golf,18
Preston Brodziak,Barstool Sports,Long Island University,Ice Hockey,18
Aaron Costello,Barstool Sports,University of Iowa,Wrestling,18
Anthony Depino,Barstool Sports,University of Rhode Island,Baseball,18
Joey Abate,Barstool Sports,University of Nebraska Omaha,Ice Hockey,18
Emily Fitzner,Barstool Sports,Indiana University,Volleyball,18
Cameron Lyons,Barstool Sports,University of North Carolina at Charlotte,Football,18
Casey Thompson,Barstool Sports,Boston University,Field Hockey,18
Jack Hoagland,Barstool Sports,University of Notre Dame,Swimming and Diving,18
JP Miller,Barstool Sports,George Mason University,Golf,19
Benito Posa,Barstool Sports,Lake Superior State University,Ice Hockey,19
Dylan Wudke,Barstool Sports,Youngstown State University,Football,19
Blake Money,Barstool Sports,Louisiana State University,Baseball,19
Tyler Mackesy,Barstool Sports,University of Virginia,Squash,19
Taylor Fox,Barstool Sports,University of Iowa,Football,19
Ben Burton,Barstool Sports,United States Naval Academy,Golf,19
Joe Dunlap,Barstool Sports,The Ohio State University,Ice Hockey,19
Andrew Stafford,Barstool Sports,Drake University,Football,19
Malik Hamm,Barstool Sports,Lafayette College,Football,19
Reggie Lutz,Barstool Sports,"Minnesota State University, Mankato",Ice Hockey,19
Peter Lehman,Barstool Sports,Lafayette College,Lacrosse,19
Lily Farkas,Barstool Sports,University of Michigan,Soccer,19
Cameron Amine,Barstool Sports,University of Michigan,Wrestling,19
Cooper Cortinas,Barstool Sports,Washington State University,Cross Country,19
Andrew Paoli,Barstool Sports,"University of California, Los Angeles",Soccer,19
Andrew Abrahamowicz,Barstool Sports,Bowling Green State University,Baseball,19
Abi Annett,Barstool Sports,University of North Florida,Softball,19
Saige Pye,Barstool Sports,Marshall University,Softball,19
Jack Galbraith,Barstool Sports,College of William & Mary,Swimming and Diving,19
Bryce Haney,Barstool Sports,Wright State University,Golf,20
Grant Toutant,Barstool Sports,The Ohio State University,Football,20
Zach Larkin,Barstool Sports,Indiana State University,Football,20
Tess Weiskopf,Barstool Sports,Youngstown State University,Swimming and Diving,20
Jacob Snyder,Barstool Sports,The Ohio State University,Lacrosse,20
Andrew Carson,Barstool Sports,Michigan State University,Baseball,20
Allan Hart,Barstool Sports,University of Missouri,Wrestling,20
Dalton Stier,Barstool Sports,Niagara University,Swimming and Diving,20
